district_cluster,cluster_center_lat,cluster_center_lng
1,46.20609685,6.128191187
2,46.21250395,6.129205155
3,46.20855867,6.120885809
4,46.22288515,6.127898459
5,46.2195076,6.137469292
6,46.21486226,6.131803978
7,46.20201225,6.137967391
8,46.20085371,6.130933994
9,46.19947846,6.134992606
10,46.19631405,6.139260675
11,46.19138049,6.138647563
12,46.19046018,6.130733213
13,46.19039864,6.136831171
14,46.20191135,6.167925942
15,46.20358923,6.15779283
16,46.20546288,6.16170712
17,46.20202195,6.161000223
18,46.20103646,6.157098833
19,46.20963979,6.143660638
20,46.20808014,6.134816193
21,46.20664928,6.141927739
22,46.20740731,6.146328263
23,46.21000049,6.138562269
24,46.21142179,6.145626573
25,46.21464512,6.14813938
26,46.21076672,6.149114196
27,46.22215263,6.14550877
28,46.19386867,6.142556961
29,46.19462082,6.146819511
30,46.19062639,6.143890252
31,46.19632398,6.143047038
32,46.20323207,6.14540993
33,46.2012712,6.154714323
34,46.20118347,6.141424658
35,46.20211245,6.14950078
36,46.19647048,6.161430508
37,46.19206289,6.1525573